Observation,Energy
50001,57
50002,85
50003,59
50004,88
50005,47
50006,78
50007,132
50008,50
50009,178
50010,45
50011,62
50012,97
50013,58
50014,28
50015,50
50016,129
50017,69
50018,254
50019,47
50020,100
50021,60
50022,127
50023,129
50024,33
50025,86
50026,68
50027,153
50028,227
50029,46
50030,57
50031,75
50032,95
50033,44
50034,54
50035,179
50036,48
50037,77
50038,82
50039,149
50040,57
50041,90
50042,70
50043,27
50044,66
50045,101
50046,85
50047,68
50048,73
50049,46
50050,72
50051,109
50052,55
50053,48
50054,142
50055,159
50056,58
50057,106
50058,135
50059,62
50060,286
50061,67
50062,34
50063,34
50064,101
50065,44
50066,58
50067,158
50068,66
50069,117
50070,37
50071,127
50072,161
50073,177
50074,42
50075,64
50076,111
50077,40
50078,118
50079,106
50080,49
50081,60
50082,106
50083,80
50084,36
50085,94
50086,46
50087,137
50088,69
50089,54
50090,155
50091,41
50092,72
50093,124
50094,265
50095,83
50096,109
50097,34
50098,43
50099,90
50100,108
50101,37
50102,60
50103,72
50104,80
50105,240
50106,43
50107,45
50108,176
50109,59
50110,70
50111,62
50112,174
50113,53
50114,87
50115,88
50116,60
50117,76
50118,95
50119,130
50120,292
50121,106
50122,78
50123,67
50124,76
50125,48
50126,194
50127,85
50128,62
50129,123
50130,52
50131,116
50132,53
50133,57
50134,109
50135,49
50136,170
50137,301
50138,43
50139,53
50140,58
50141,320
50142,115
50143,104
50144,50
50145,93
50146,42
50147,77
50148,63
50149,109
50150,139
50151,142
50152,42
50153,200
50154,44
50155,91
50156,26
50157,58
50158,107
50159,140
50160,64
50161,44
50162,54
50163,79
50164,88
50165,168
50166,70
50167,122
50168,113
50169,53
50170,99
50171,69
50172,68
50173,41
50174,43
50175,59
50176,120
50177,60
50178,42
50179,43
50180,78
50181,161
50182,74
50183,66
50184,46
50185,58
50186,116
50187,193
50188,56
50189,64
50190,87
50191,101
50192,114
50193,74
50194,94
50195,46
50196,67
50197,65
50198,125
50199,45
50200,180
50201,54
50202,43
50203,239
50204,45
50205,78
50206,152
50207,36
50208,164
50209,198
50210,83
50211,47
50212,71
50213,241
50214,51
50215,137
50216,41
50217,69
50218,60
50219,84
50220,69
50221,95
50222,47
50223,28
50224,84
50225,48
50226,149
50227,88
50228,57
50229,50
50230,147
50231,526
50232,334
50233,58
50234,289
50235,168
50236,99
50237,45
50238,78
50239,53
50240,65
50241,50
50242,141
50243,53
50244,83
50245,77
50246,118
50247,124
50248,56
50249,188
50250,98
50251,104
50252,55
50253,103
50254,57
50255,137
50256,56
50257,45
50258,368
50259,106
50260,115
50261,111
50262,57
50263,58
50264,123
50265,43
50266,56
50267,60
50268,104
50269,83
50270,129
50271,141
