observation,Energy
50001,50
50002,50
50003,60
50004,60
50005,50
50006,60
50007,110
50008,40
50009,50
50010,40
50011,50
50012,70
50013,50
50014,50
50015,50
50016,70
50017,50
50018,50
50019,50
50020,60
50021,60
50022,50
50023,60
50024,50
50025,50
50026,70
50027,50
50028,60
50029,50
50030,50
50031,50
50032,60
50033,60
50034,50
50035,50
50036,50
50037,50
50038,60
50039,70
50040,50
50041,50
50042,50
50043,40
50044,50
50045,90
50046,40
50047,50
50048,50
50049,50
50050,50
50051,60
50052,50
50053,50
50054,60
50055,50
50056,50
50057,50
50058,90
50059,60
50060,70
50061,50
50062,40
50063,40
50064,60
50065,50
50066,50
50067,50
50068,50
50069,90
50070,50
50071,60
50072,50
50073,110
50074,50
50075,50
50076,60
50077,50
50078,80
50079,60
50080,60
50081,60
50082,40
50083,50
50084,50
50085,60
50086,60
50087,100
50088,60
50089,60
50090,60
50091,50
50092,60
50093,50
50094,50
50095,50
50096,40
50097,40
50098,80
50099,60
50100,70
50101,50
50102,60
50103,70
50104,50
50105,50
50106,40
50107,50
50108,60
50109,50
50110,60
50111,60
50112,70
50113,50
50114,50
50115,60
50116,50
50117,80
50118,50
50119,50
50120,50
50121,50
50122,50
50123,60
50124,100
50125,50
50126,60
50127,60
50128,50
50129,100
50130,50
50131,50
50132,50
50133,50
50134,50
50135,50
50136,50
50137,340
50138,60
50139,40
50140,40
50141,40
50142,50
50143,50
50144,40
50145,80
50146,50
50147,50
50148,50
50149,100
50150,100
50151,50
50152,50
50153,90
50154,60
50155,40
50156,50
50157,110
50158,50
50159,50
50160,50
50161,60
50162,50
50163,50
50164,80
50165,60
50166,60
50167,90
50168,50
50169,50
50170,50
50171,50
50172,60
50173,50
50174,60
50175,40
50176,50
50177,60
50178,40
50179,40
50180,110
50181,50
50182,60
50183,40
50184,50
50185,50
50186,100
50187,60
50188,50
50189,70
50190,50
50191,60
50192,50
50193,60
50194,100
50195,50
50196,50
50197,40
50198,120
50199,50
50200,50
50201,60
50202,50
50203,60
50204,50
50205,60
50206,110
50207,50
50208,120
50209,60
50210,90
50211,60
50212,40
50213,50
50214,50
50215,60
50216,50
50217,50
50218,50
50219,80
50220,60
50221,50
50222,60
50223,40
50224,80
50225,60
50226,100
50227,50
50228,50
50229,60
50230,110
50231,50
50232,260
50233,60
50234,40
50235,50
50236,50
50237,50
50238,60
50239,40
50240,60
50241,50
50242,60
50243,50
50244,50
50245,60
50246,50
50247,50
50248,40
50249,100
50250,50
50251,50
50252,50
50253,50
50254,50
50255,60
50256,50
50257,40
50258,440
50259,60
50260,50
50261,110
50262,50
50263,50
50264,50
50265,50
50266,50
50267,60
50268,110
50269,70
50270,50
50271,110
50272,120
50273,50
50274,60
50275,40
50276,50
50277,60
50278,40
50279,40
50280,60
50281,50
50282,60
50283,80
50284,50
50285,50
50286,50
50287,40
50288,50
50289,50
50290,50
50291,60
50292,50
50293,60
50294,50
50295,120
50296,50
50297,50
50298,50
50299,80
50300,50
50301,50
50302,110
50303,50
50304,50
50305,50
50306,100
50307,40
50308,50
50309,50
50310,50
50311,120
50312,60
50313,50
50314,60
50315,40
50316,80
50317,60
50318,60
50319,50
50320,50
50321,50
50322,50
50323,50
50324,50
50325,100
50326,60
50327,40
50328,70
50329,60
50330,50
50331,40
50332,50
50333,60
50334,60
50335,250
50336,50
50337,50
50338,50
50339,50
50340,60
50341,40
50342,40
50343,50
50344,90
50345,50
50346,50
50347,50
50348,50
50349,50
50350,50
50351,60
50352,60
50353,50
50354,50
50355,60
50356,60
50357,270
50358,60
50359,60
50360,40
50361,60
50362,60
50363,50
50364,70
50365,60
50366,60
50367,50
50368,60
50369,50
50370,60
50371,550
50372,50
50373,60
50374,50
50375,60
50376,50
50377,70
50378,50
50379,50
50380,390
50381,90
50382,60
50383,50
50384,60
50385,60
50386,50
50387,60
50388,50
50389,40
50390,50
50391,90
50392,50
50393,50
50394,50
50395,110
50396,60
50397,50
50398,50
50399,50
50400,40
50401,50
50402,60
50403,100
50404,80
50405,50
50406,100
50407,50
50408,100
50409,110
50410,50
50411,50
50412,110
50413,50
50414,60
50415,60
50416,60
50417,60
50418,70
50419,40
50420,120
50421,70
50422,60
50423,60
50424,50
50425,60
50426,90
50427,60
50428,110
50429,100
50430,70
50431,50
50432,60
50433,50
50434,50
50435,50
50436,50
50437,50
50438,50
50439,60
50440,50
50441,50
50442,50
50443,40
50444,100
50445,220
50446,50
50447,40
50448,40
50449,60
50450,50
50451,50
50452,40
50453,50
50454,40
50455,50
50456,60
50457,50
50458,50
50459,50
50460,40
50461,50
50462,60
50463,50
50464,120
50465,40
50466,80
50467,60
50468,50
50469,60
50470,60
50471,60
50472,50
50473,50
50474,50
50475,50
50476,50
50477,50
50478,60
50479,50
50480,50
50481,50
50482,110
50483,50
50484,50
50485,50
50486,50
50487,50
50488,90
50489,50
50490,60
50491,60
50492,50
50493,40
50494,60
50495,60
50496,60
50497,50
50498,60
50499,50
50500,40
50501,50
50502,50
50503,40
50504,50
50505,40
50506,50
50507,60
50508,60
50509,50
50510,60
50511,60
50512,60
50513,50
50514,110
50515,100
50516,110
50517,80
50518,50
50519,80
50520,50
50521,40
50522,60
50523,90
50524,40
50525,60
50526,60
50527,50
50528,60
50529,130
50530,60
50531,70
